Country,farms_number,used_agricultural_area_ha,standard_output_EUR,total_labour_persons,nonfamily_labour_persons,farms_SO_100k_250k,farms_SO_250k_500k,farms_SO_500k_plus
Belgium,36890,1354250,8037986420.0,70910,19800.0,9010,7170,3880
Bulgaria,202720,4468500,3842891030.0,439740,64490.0,2740,1480,1510
Czechia,26530,3455410,6141561460.0,130290,81840.0,2230,980,1930
Denmark,35050,2614600,10062442040.0,73320,25780.0,3910,2170,5510
Germany,276120,16715320,49249020560.0,653760,178640.0,53820,32350,20430
Estonia,16700,995100,801547060.0,38380,13450.0,740,300,280
Ireland,137560,4883650,6324900700.0,265180,18530.0,12320,3340,870
Greece,684950,4553830,7574803910.0,1198390,33830.0,4450,710,330
Spain,945020,23229750,38365605150.0,1866210,351200.0,51150,15980,11080
France,456520,27814160,61343138670.0,859750,403750.0,112690,54410,19470
Croatia,134460,1562980,2034939130.0,318060,36355.0,1480,560,210
Italy,1145710,12598160,51689024310.0,2045410,231730.0,65800,18790,13040
Cyprus,34940,111930,616692170.0,72910,4540.0,580,230,180
Latvia,69930,1930880,1221341010.0,162630,21380.0,1240,460,320
Lithuania,150320,2924600,2226207560.0,255570,33760.0,2490,590,390
Luxembourg,1970,130650,365008400.0,4780,1170.0,510,450,120
Hungary,430000,4670560,6532474660.0,814420,111460.0,5430,1680,1720
Malta,9210,11120,98016860.0,15420,36355.0,100,40,20
Netherlands,55680,1796260,23087034100.0,172660,54340.0,9840,13580,12920
Austria,132500,2669750,6141561460.0,318840,26420.0,13990,2240,510
Poland,1410700,14405650,25005635420.0,3088250,122480.0,24480,5800,3450
Portugal,258980,3641690,5144206850.0,603720,76250.0,6340,2040,1060
Romania,3422030,12502540,12105491800.0,6061200,80960.0,5180,2180,1610
Slovenia,69900,488400,1158773470.0,196040,2870.0,1300,180,70
Slovakia,25660,1889820,1931433530.0,79180,38880.0,820,450,880
Finland,49710,2233080,3514583720.0,111860,20680.0,6330,1850,930
Sweden,62940,3012640,5158678850.0,129280,22150.0,5270,2870,2220
United Kingdom,185060,16673270,25403447340.0,426610,99540.0,25000,14570,11700
