Category,Year,Amount_EUR,Quantity_Tonnes,value_per_tonne,yoy_growth_rate,export_share
Animal Feed,2018,385330749,808843,476.39745785028737,,2.798606182454564
Animal Feed,2019,426793208,920134,463.8381018416883,10.760225885840224,2.9126245134395776
Animal Feed,2020,458237352,945214,484.79746597066907,7.367536176911238,3.194857309537492
Animal Feed,2021,544968523,1086745,501.4686269548054,18.92712818399842,3.5029981025990886
Animal Feed,2022,669247332,1047934,638.6350018226339,22.80476830402185,3.532726659836212
Animal Skins & Furs,2018,107690433,91609,1175.5442478359114,,0.7821413483537204
Animal Skins & Furs,2019,74115644,75874,976.8253156549016,-31.17713251278319,0.5057977434911779
Animal Skins & Furs,2020,58636138,79266,739.7388287538163,-20.88561221973596,0.4088145439797083
Animal Skins & Furs,2021,73135368,72679,1006.2792278374772,24.72746414506357,0.47010615205180584
Animal Skins & Furs,2022,82458739,84987,970.2512031251839,12.74810157515034,0.43527134390096595
Beef,2018,2434585755,534542,4554.526594729694,,17.682073811500604
Beef,2019,2348871628,528379,4445.429564763172,-3.5206862943301775,16.029732794237738
Beef,2020,2334845719,524710,4449.783154504393,-0.5971339102913253,16.278679333825824
Beef,2021,2427858686,454620,5340.4132814218465,3.9836879260629177,15.606010276737974
Beef,2022,3015968638,485825,6207.932152524057,24.223401279130297,15.920261916998586
Beverages,2018,1443812983,871005,1657.6402925356342,,10.486222423251165
Beverages,2019,1715261857,966942,1773.9035609167872,18.80083343176309,11.70570111712296
Beverages,2020,1458032691,870026,1675.8495619671137,-14.996495430143531,10.16548821272424
Beverages,2021,1758923100,870035,2021.6693581292707,20.636739550306828,11.306165442362083
Beverages,2022,2046588640,970369,2109.0828746590214,16.35463994986477,10.803238062435689
Cereal & cereal preparation,2018,408023288,281440,1449.7700682205798,,2.9634190869679053
Cereal & cereal preparation,2019,489674618,259597,1886.2876612595678,20.011438660824666,3.341754904393795
Cereal & cereal preparation,2020,486499556,274912,1769.6555843324409,-0.648402405043591,3.3919030297061954
Cereal & cereal preparation,2021,504506444,270282,1866.592832671062,3.701316430389512,3.242912281157591
Cereal & cereal preparation,2022,614866352,280775,2189.889954589974,21.874826241069776,3.245668155979494
"Coffee, Tea, Cocoa & Spices",2018,385220839,66372,5803.966115229314,,2.7978079206851314
"Coffee, Tea, Cocoa & Spices",2019,411072695,69127,5946.630043253722,6.710918357145257,2.8053408203784507
"Coffee, Tea, Cocoa & Spices",2020,420795074,78208,5380.460745703765,2.365124008054109,2.933807582726843
"Coffee, Tea, Cocoa & Spices",2021,437631202,76395,5728.531998167419,4.001027825720227,2.8130455348228587
"Coffee, Tea, Cocoa & Spices",2022,482044333,75959,6346.1121526086445,10.148529354632263,2.5445463657254663
Crude Animal & Vegetable Material,2018,130597212,122337,1067.5201451727605,,0.9485102496051498
Crude Animal & Vegetable Material,2019,117075336,157243,744.5503838008688,-10.353877998559414,0.7989735711838579
Crude Animal & Vegetable Material,2020,116563466,192167,606.5737925866564,-0.4372142053899353,0.8126872236620399
Crude Animal & Vegetable Material,2021,135423004,208975,648.0344730230889,16.179630416961,0.8704842684285983
Crude Animal & Vegetable Material,2022,152374879,197100,773.0841146626078,12.517721878330224,0.8043346183001547
Dairy Produce,2018,4650418450,1440031,3229.387735402918,,33.775373128010536
Dairy Produce,2019,5164242160,1735918,2974.934392062298,11.048977968853535,35.2430592301135
Dairy Produce,2020,5184179147,1723486,3007.9612755775215,0.38605832922444794,36.144396718111246
Dairy Produce,2021,5192212135,1643676,3158.9024448857317,0.15495197546653294,33.374972112282826
Dairy Produce,2022,7040490564,1577917,4461.889037256079,35.59712856377737,37.164330023459975
Egg,2018,23582084,9149,2577.558640288556,,0.17127355200392494
Egg,2019,20335886,9608,2116.5576602830974,-13.765526405554319,0.1387810278042492
Egg,2020,21456536,9275,2313.373153638814,5.510701623720737,0.1495962094267565
Egg,2021,37419936,10407,3595.6506197751514,74.3987752729518,0.2405312587335972
Egg,2022,46350487,10813,4286.552020715805,23.865757012518674,0.24466829121597716
Fish,2018,576514622,226314,2547.4103325468154,,4.187149324552492
Fish,2019,576811365,202388,2850.027496689527,0.051471894844667965,3.936414380168729
Fish,2020,532834520,201447,2645.0357662313163,-7.624129424010217,3.7149530774084534
Fish,2021,600419666,235078,2554.1295484902885,12.684077976029041,3.8594319891778013
Fish,2022,625889267,201449,3106.9365794816554,4.241966484821957,3.3038543359277
Forestry & Wood products,2018,477410625,1415155,337.35571368507334,,3.467370123359912
Forestry & Wood products,2019,466228945,1527424,305.2387189149837,-2.342151475996157,3.181751322720376
Forestry & Wood products,2020,446595840,1390215,321.2422826685081,-4.2110437823631885,3.113692014860098
Forestry & Wood products,2021,682725677,1462335,466.8736486509589,52.873272845533,4.388486032112864
Forestry & Wood products,2022,748787630,1486521,503.7181647618836,9.676207476227683,3.9525925567030473
Fruit & Vegetables,2018,145708501,69098,2108.722408752786,,1.0582615397111406
Fruit & Vegetables,2019,159179647,85048,1871.6448005832,9.245271145847568,1.0863119028193595
Fruit & Vegetables,2020,176659057,89713,1969.1578366568947,10.980932757062845,1.2316771583309305
Fruit & Vegetables,2021,219813432,95721,2296.3971542294794,24.42805692096499,1.4129367160198236
Fruit & Vegetables,2022,179395496,111372,1610.7773587616277,-18.387382259697393,0.9469671690431789
Fruit & Vegetables Based Products,2018,176896030,117821,1501.3964403629234,,1.2847724312021307
Fruit & Vegetables Based Products,2019,157692564,103263,1527.0964817989018,-10.855792524004071,1.076163394553222
Fruit & Vegetables Based Products,2020,151017209,106128,1422.9723447158149,-4.233145070810062,1.0529007116809654
Fruit & Vegetables Based Products,2021,181900764,110217,1650.3875445711642,20.450354767184177,1.1692382298441932
Fruit & Vegetables Based Products,2022,198945997,111082,1790.9832106011775,9.37062199474874,1.0501675447390426
Live Animals,2018,431525615,80826,5338.945574443867,,3.1341133744468133
Live Animals,2019,454092757,85381,5318.4286550871975,5.2296181768954675,3.098928639495972
Live Animals,2020,418660946,89032,4702.364835115464,-7.802769468089088,2.91892831893368
Live Animals,2021,534412830,89915,5943.533670688984,27.648120777905085,3.435147261697184
Live Animals,2022,593244654,94880,6252.578562394604,11.008684802720769,3.1315346431461144
Miscellaneous Edible Products & Preparations,2018,264574146,97949,2701.1418799579374,,1.9215669723602473
Miscellaneous Edible Products & Preparations,2019,321193423,111119,2890.535578973893,21.40015487378726,2.1919651481083724
Miscellaneous Edible Products & Preparations,2020,338642317,108043,3134.329081939598,5.4325190836799875,2.361033811547869
Miscellaneous Edible Products & Preparations,2021,392205436,134963,2906.021917118025,15.817018816345985,2.5210536758598225
Miscellaneous Edible Products & Preparations,2022,424952416,116594,3644.719419524161,8.349445722623795,2.2431777571359945
"Oils, Fats & Oleaginous Fruits",2018,68745559,113310,606.7033712823228,,0.499289887798949
"Oils, Fats & Oleaginous Fruits",2019,71732614,113940,629.5648060382657,4.345087949608506,0.48953489894689006
